,date,home team,score,away team
377,12-11-2023,West Ham,3 - 2,Nott'm Forest
378,25-11-2023,Burnley,1 - 2,West Ham
379,03-12-2023,West Ham,1 - 1,Crystal Palace
380,07-12-2023,Tottenham,1 - 2,West Ham
381,10-12-2023,Fulham,5 - 0,West Ham
382,17-12-2023,West Ham,3 - 0,Wolves
383,23-12-2023,West Ham,2 - 0,Man United
384,28-12-2023,Arsenal,0 - 2,West Ham
385,02-01-2024,West Ham,0 - 0,Brighton
386,14-08-2023,Man United,1 - 0,Wolves
387,19-08-2023,Wolves,1 - 4,Brighton
388,26-08-2023,Everton,0 - 1,Wolves
389,03-09-2023,Crystal Palace,3 - 2,Wolves
390,16-09-2023,Wolves,1 - 3,Liverpool
391,23-09-2023,Luton,1 - 1,Wolves
392,30-09-2023,Wolves,2 - 1,Man City
393,08-10-2023,Wolves,1 - 1,Aston Villa
394,21-10-2023,Bournemouth,1 - 2,Wolves
395,28-10-2023,Wolves,2 - 2,Newcastle
396,04-11-2023,Sheffield United,2 - 1,Wolves
397,11-11-2023,Wolves,2 - 1,Tottenham
398,27-11-2023,Fulham,3 - 2,Wolves
399,02-12-2023,Arsenal,2 - 1,Wolves
400,05-12-2023,Wolves,1 - 0,Burnley
401,09-12-2023,Wolves,1 - 1,Nott'm Forest
402,17-12-2023,West Ham,3 - 0,Wolves
403,24-12-2023,Wolves,2 - 1,Chelsea
404,27-12-2023,Brentford,1 - 4,Wolves
405,30-12-2023,Wolves,3 - 0,Everton
